,id,raw_address,POI/street,POI,street
1,1,"aye, jati sampurna",,,
14,14,"kamp utan jaya, 23 rt 3 rw 8 16433 beji",,,
24,24,"angg raya i, jatinegara cakung",,,
41,41,aa gallery sport pasar muara labuh sungai pagu,,,
42,42,raya kopo babakan asih bojongloa kaler,,,
61,61,"sedu put, 8 ilir ilir timur ii",,,
62,62,"jl sunan giri, no 22 pondok pucung",,,
65,65,"saka jaya, sum urip",,,
88,88,jati i 132 pelutan pemalang,,,
99,99,pamoyanan town house blok g no 1,,,
120,120,gala klam asri sela ii 42 rt 0 0 sukolilo,,,
122,122,"mas bah ii,",,,
124,124,haji oemar said cokr 129 kalijaya,,,
131,131,haji oemar said cokr jombatan jombang,,,
141,141,"sdn gadog o6, raya pun gadog,",,,
147,147,"cafe 4wd, dr. wahi s., pontianak kota",,,
150,150,panunggangan barat nn no 23 rt 1 rw 9 cibodas,,,
154,154,"pis, no 8 63132",,,
165,165,rusun pinus elok tower c lt 11no 14,,,
182,182,raya kebon karet - pasar kemis sukaasih pasar kemis,,,
236,236,darul imarah,,,
246,246,jl. edy raya jl. hali raya setia budi,,,
260,260,raya gatot subr 28 turen,,,
262,262,jalan sumur bor raya rt  rw 004 012 kel. kalideres kec.kalideres_jakarta barat,,,
268,268,"nota & ppat ary,",,,
270,270,"coun kiis, biringbulu",,,
271,271,gugus depan no 14 rt 12 1 matraman,,,
277,277,"beryl barat,",,,
307,307,dupak ban dupak krembangan,,,
336,336,"graha tirta akasia no 96, kec. waru kab. sidoarjo 61256 jatim",,,
337,337,denis massage & spa,,,
341,341,bangunjiwo tk pertiwi 20 sps bunga lily kar 55799 kasihan,,,
355,355,"haji zai ari,",,,
389,389,"tk al mubar, watu-watu lentarai jaya s. (lantari jaya)",,,
390,390,"swad raya 3a sate tongseng gule solo, larangan indah larangan",,,
418,418,koperasi putra jaya raya gatot subr barat no 389,,,
420,420,"men, 9 andreas, cimanggis",,,
421,421,penerima : ibu nunu suhardini. alamat : anjungan aceh-taman mini indonesia indah,,,
432,432,"mage, kios total, loano loano",,,
434,434,perum bci bukit cileungsi indah no 14 rt26 11,,,
464,464,"stokis hpai lamdi,",,,
467,467,"toko jamu, komar, 92 rw 8 cakung",,,
470,470,"grand pamulang residence blok h no.9, jl. sukamulya raya, kelurahan serua",,,
482,482,ha sarm i bendungan hilir,,,
508,508,alice cake's & cook,,,
537,537,"dir i, 4 bandung kulon",,,
570,570,talang buluh tal kera 1 30961 talang kelapa,,,
575,575,benoa werdi media cem ii no 4 kuta selatan,,,
578,578,"gbi sak, sak cengkareng barat",,,
589,589,cipi muara raya jatinegara,,,
603,603,mts swa raudl huda sukoharjo suko harjo kalitidu,,,
605,605,"munir nurana fam, kena 2 pringsewu utara pringsewu",,,
612,612,baru kel.,,,
623,623,sed ix 16 morokrembangan 1 krembangan,,,
634,634,"ahmad yani no 16 toko aneka, sukma jaya",,,
635,635,kh. abdu 56 sangatta utara sangatta utara,,,
639,639,"ngemplak rt02 rw29 (timur jembatan biru warung sayur bu ratmi), mojosongo",,,
647,647,samping indomaret tegal parang ada gang kecil masuk,,,
648,648,"simpang tiga bukit raya indah, no 5 28288 bukit raya",,,
671,671,desa beringin.sakti jorong sakato dusun3 timpeh 2 sp3,,,
675,675,"war lestari berjaya, poros tangettada,",,,
676,676,pt. radio losta masuari group kesatrian sawunggaling,,,
698,698,"bengkel las setia karya, kampung lima, jl. jenderal sudirman,",,,
716,716,pai - rowob gesikan,,,
721,721,arca cakranegara,,,
738,738,cikini g iii 31 rt 10 3 menteng,,,
739,739,"bengkel sep sar paus, tengkerang tengah",,,
756,756,jab pasirkuda bogor barat - kota,,,
767,767,sepa raya periuk,,,
769,769,"bandar udara naha tahuna, kampung naha",,,
778,778,jl anoa 2 12 cibodas baru rt 3 8 cibodas,,,
779,779,"pulau adi & teuku umar, denpasar barat",,,
783,783,gamp 35 jatiwaringin rt 5 rw 14 pondok gede,,,
788,788,kh. noer ali jaka sampurna bekasi selatan,,,
798,798,"perumahan de diandra land, jln. kartama",,,
800,800,pondok kopi haji mans 32 rt 3 2 duren sawit,,,
809,809,"tukad penat, 27 serangan denpasar selatan",,,
811,811,tegal mraen sendangadi mlati,,,
812,812,"rumah makan riyan, kuta",,,
821,821,"toko tripena, brastagi (berastagi)",,,
828,828,haji namin cipete utara kel.,,,
830,830,kebo iwa 27 padangsambian kaja kel.,,,
861,861,"hima char for palu,si dong, dewi sart,",,,
865,865,"bakti jaya bukit perm vii, 2 15315 setu",,,
903,903,jend sudi 483 rt 1 rw 3 gelora tanah abang,,,
914,914,"munaha dg naba, poros takal",,,
916,916,"mts muhamma 4 tel ram, purwodadi sidayu",,,
917,917,"tk fit, johar baru utara 2, johar baru johar baru",,,
919,919,pt.infomedia nusantara (gedung cambridge lt 3 jl.s. parman medan perisah,,,
933,933,dok setia 141 gegerkalong sukasari,,,
937,937,parit pis mas bagan keladi dumai barat,,,
942,942,jln palmarosa viii blok d9 5 d'amerta residence ciganitri,,,
949,949,"genteng indah pd raya cile,",,,
950,950,balas klumprik gg. viii 24 rt 6 6 60222,,,
954,954,bin per no 10 rt 7 3 suka bakti curug,,,
978,978,rusun pinus elok blok a6 -01 penggilingan,,,
981,981,"wendy's, vete sidomukti",,,
993,993,21 cine cih cipaganti,,,
1003,1003,"pam cibu, parakan ciomas",,,
1020,1020,"rm war kari, tol pelab, ancol pademangan",,,
1057,1057,global fm radio wali,,,
1060,1060,soka kun iii kota baru kel.,,,
1104,1104,dur raya pondok gede,,,
1124,1124,kembangan selatan puri indah raya 1-2-3 rt 1 2 kembangan,,,
1134,1134,sam no 299 samoja batununggal,,,
1138,1138,"rawa sari cita mun jaya, 61 sosis bakar, munjuljaya",,,
1146,1146,tera iii 1 jakasampurna rt 9 rw 7 bekasi barat,,,
1147,1147,sukawarna griya sela ii 12 sukajadi,,,
1151,1151,"cahaya baru, stas, keude cunda muara dua",,,
1159,1159,gg. jat 221 demangan gondokusuman,,,
1170,1170,rel ker api lama meunasah manyang pagar air ingin jaya,,,
1180,1180,amir ham 35 tanjung karang pusat,,,
1183,1183,toko esi gad marp,,,
1185,1185,"pusp raya, a4 2 serpong",,,
1228,1228,"haji adam malik, no 57 toko susu hemat 3zi, jelutung",,,
1230,1230,raya pakis no 10 pang mie,,,
1237,1237,"kpri rimba lest, situ",,,
1242,1242,"war nanda nazwa, bougen, koja",,,
1247,1247,rejoagung kerto - tul no 242 66229 kedungwaru,,,
1250,1250,"penjahit mak tun,",,,
1258,1258,tanjung uma tanjung uma 103 29444 lubuk baja,,,
1274,1274,"galaxy cell,dekat jembatan cilumba,kab tasikmalaya, cikatomas jawa barat",,,
1277,1277,rancabolang cemp i no 54 40295 gedebage,,,
1278,1278,"damai, no 6 rw 3 petukangan selatan kel. pesanggrahan",,,
1283,1283,"depan alfamidi, arah situ cigangsa, depan kantor desa.",,,
1304,1304,"empal gentong mas bro, telekomu, 40353 dayeuhkolot",,,
1312,1312,"kios darmi, m t hary,",,,
1328,1328,"citarum ged panti karya, merd no 39-41 bandung wetan",,,
1330,1330,"vide photography, man, cihapit",,,
1341,1341,dr. ratul no 32 singki' rantepao,,,
1351,1351,"lapa tenis kodim 0709,",,,
1353,1353,"kramat pela lang iii, 62 rt 3 1 12130 kebayoran baru",,,
1355,1355,"wono per utara vii, 111 wonorejo rw 9 rungkut",,,
1356,1356,"bak shop bali deli, kunti i, seminyak",,,
1357,1357,"buaran laundry serpong the hei iii, no hc 5 serpong",,,
1358,1358,"kos bu yeni pak makfur, pulutan lor rt01 rw02",,,
1382,1382,perum villa bek indah no 17 sumberjaya kel.,,,
1391,1391,taman adiyasa blok g12 no02,,,
1397,1397,"arando, sei ser, medan sunggal",,,
1398,1398,"mama, haji fachr kampung bali",,,
1400,1400,"kantor desa laban, labanjaya",,,
1412,1412,"photo raya, man dua raya, ancol",,,
1413,1413,pangk jati 2 66 pangkalan jati cinere,,,
1416,1416,bareng tenes 4b klojen,,,
1420,1420,mekar agung mekarwangi bojongloa kidul,,,
1429,1429,nasi 1 bandengan,,,
1431,1431,"lubang buaya gg. sadar v, 62 rt 6 6 13810 cipayung",,,
1451,1451,pati raya 15 pandean lamper rw 10 gayamsari,,,
1453,1453,komplek puri citra blok c 3 no 22 desa pipitan,,,
1454,1454,kem raya pantoan maju siantar,,,
1468,1468,"kidul dalem nan, no 568 67153 bangil",,,
1482,1482,"warung mangga rt02,rw02",,,
1486,1486,sindurjan may sut 11 purworejo,,,
1487,1487,desa hutasoit1,,,
1488,1488,dip 26 darmo rt 2 2 wonokromo,,,
1493,1493,"mush al wiqo, kem sela 8, no 57 rw 2 mampang prapatan",,,
1495,1495,sabu gusung ujung tanah,,,
1498,1498,"dok ir. haji soek, no 196-10 kalijudan 8 mulyorejo",,,
1503,1503,jatimulya al huda rawa 2 17510 tambun selatan,,,
1504,1504,"haji tour halal tour oper, asem baris raya, tebet",,,
1517,1517,joglo raya,,,
1526,1526,"m. h. tham 28 cok ngr bagus agung, pemecutan denpasar barat",,,
1530,1530,glamour kara & cafe sema sugih waras,,,
1532,1532,may harun sohar 21 tumbak ulas pagar alam selatan,,,
1536,1536,raya kali 275 rawajati rt 3 rw 2 pancoran,,,
1539,1539,beru xi jayamukti cikarang pusat,,,
1544,1544,"audra penj, ahmad karim, no 4 benteng pasar atas guguk panjang (guguak panjang)",,,
1566,1566,"aneka gore terang fajar, pan raya",,,
1570,1570,leci 1 sukatani tapos,,,
1574,1574,"makam islam dsn kalonding, sampaga",,,
1602,1602,and raya pangkalan jati baru cinere,,,
1612,1612,tabaringan yos suda 105 90161 ujung tanah,,,
1613,1613,jatibe no 62 rw 12 jatibening kel.,,,
1629,1629,"mebel cendra, raya por, jati rejo",,,
1630,1630,"slb negeri surak, bido 4",,,
1631,1631,jatiwaringin bont 50 13 17411 pondok gede,,,
1633,1633,arief rah hak gg. tj 14 tegal sari i medan area,,,
1661,1661,"nasi goreng utomo, ahmad yani,",,,
1662,1662,sek 11 17 sudimara jaya rt 6 9 ciledug,,,
1683,1683,"rental mobil bek free driver, prof moh yamin duren jaya",,,
1685,1685,pamakayo kel.,,,
1692,1692,toko bamb sil sragi,,,
1697,1697,"tk al istiq nw sura anj sura, suralaga",,,
1710,1710,"teluk tering komp. rafflesia, villa rafl 11 - 12 29461 batam kota",,,
1711,1711,ra let suka benteng ciampea,,,
1719,1719,"perm 7,",,,
1722,1722,"jagat building, pt. jaga citra inti, lt.5, jl. tomang raya no 28",,,
1727,1727,"mas nurul iman, kolo yos suda rantau laban rambutan",,,
1739,1739,"pengab, toko gurning",,,
1740,1740,"citra raya boule, 8 ciakar panongan",,,
1766,1766,"suprapto, 48 henri cell, ratu samban",,,
1782,1782,pet enc iv petojo selatan gambir,,,
1788,1788,baolan,,,
1793,1793,duwet sad 133 bojong,,,
1796,1796,cijantung got roy 1a rt 5 rw 9 13780 pasar rebo,,,
1801,1801,"van's motor ceper, siliw, cianjur",,,
1807,1807,moyag tampoan kotamobagu timur,,,
1823,1823,"wal baru, koja",,,
1844,1844,"ecc tro, trihanggo",,,
1846,1846,"ud nur yati, jagak, jagakarsa",,,
1863,1863,pand 46 rw 11 rungkut,,,
1864,1864,rumah bunda shop dukuhwaru,,,
1866,1866,jl. palem jambi babat supat,,,
1878,1878,tatah bang handil bujur aluh-aluh,,,
1890,1890,"trendy, dharmawangsa",,,
1912,1912,"st. zohra,",,,
1915,1915,"pagaru, no 77 rudi pgr, imopuro",,,
1918,1918,"cipa baru no 15 kimora mie ayam & baso, tarogong kaler",,,
1924,1924,grogol selatan rawa simp vi 9 9 12220 kebayoran lama,,,
1931,1931,jaya imperial parkir cluster imperial terrace blok itb 02,,,
1937,1937,o 4 cipinang muara jatinegara,,,
1948,1948,"zam sela, no b1 4 zidny bags, padurenan",,,
1954,1954,roro 3 56 rorotan rt 12 rw 10 cilincing,,,
1960,1960,"bakso rizki mote kota kuda kuni, raya mekar sari, bekasi jaya",,,
